exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,7,21,Group2,92.3814,4016.0,3376.0,0.8406374501992032,640.0,3903.0,47708.88087700587,75098.233037617,10,0.625,47801.85588799941
exp1,7,18,Group2,92.4433,4015.0,48.0,0.011955168119551681,3967.0,3902.0,47708.88087700587,75098.233037617,11,0.6875,47801.85588799941
exp1,7,30,Group2,92.3985,4128.0,48.0,0.011627906976744186,4080.0,3915.0,47708.88087700587,75098.233037617,12,0.75,47801.85588799941
exp1,7,15,Group1,0.5755,13309.0,11168.0,0.8391314148320685,2141.0,13218.0,29773.67582100851,75080.20582636,2,0.125,29774.644631004776
exp1,7,24,Group2,0.5994,4016.0,3376.0,0.8406374501992032,640.0,3903.0,29773.67582100851,75080.20582636,3,0.1875,29774.644631004776
exp1,7,7,Group1,0.6261,13310.0,11168.0,0.839068369646882,2142.0,13219.0,29773.67582100851,75080.20582636,4,0.25,29774.644631004776
exp1,7,4,Group1,0.0374,13639.0,11312.0,0.829386318645062,2327.0,13358.0,5234.5973560004495,75050.431181729,1,0.0625,0.0
exp1,7,27,Group2,0.5321,4496.0,3968.0,0.8825622775800712,528.0,4486.0,29773.67582100851,75080.20582636,5,0.3125,29774.644631004776
exp1,7,6,Group1,0.6511,13591.0,11344.0,0.8346700022073431,2247.0,13395.0,29773.67582100851,75080.20582636,6,0.375,29774.644631004776
exp1,7,11,Group1,92.4215,13307.0,11168.0,0.8392575336289171,2139.0,13216.0,47708.88087700587,75098.233037617,13,0.8125,47801.85588799941
exp1,7,3,Group1,92.4613,13642.0,11296.0,0.8280310804867321,2346.0,13361.0,47708.88087700587,75098.233037617,14,0.875,47801.85588799941
exp1,7,14,Group1,0.512,13310.0,11168.0,0.839068369646882,2142.0,13219.0,29773.67582100851,75080.20582636,7,0.4375,29774.644631004776
exp1,7,9,Group1,0.4948,13308.0,11152.0,0.8379921851517884,2156.0,13217.0,29773.67582100851,75080.20582636,8,0.5,29774.644631004776
exp1,7,2,Group1,0.5548,13656.0,11472.0,0.8400702987697716,2184.0,13525.0,29773.67582100851,75080.20582636,9,0.5625,29774.644631004776
exp1,7,13,Group1,92.3614,13310.0,11168.0,0.839068369646882,2142.0,13219.0,63577.94248200662,75114.102099222,16,1.0,63670.91749300016
exp1,7,20,Group2,0.4772,4016.0,48.0,0.01195219123505976,3968.0,3903.0,47800.88707800314,75098.233037617,15,0.9375,47801.85588799941
exp1,8,27,Group2,0.482,5026.0,0.0,0.0,5026.0,5010.0,15210.695690999273,75741.976988673,4,0.5714285714285714,15211.390044001746
exp1,8,21,Group2,0.0171,4610.0,48.0,0.010412147505422993,4562.0,4530.0,8597.229478007648,75729.451383555,2,0.2857142857142857,2685.784925997723
exp1,8,28,Group2,0.5254,4855.0,0.0,0.0,4855.0,4832.0,15210.695690999273,75741.976988673,5,0.7142857142857143,15211.390044001746
exp1,8,19,Group2,0.464,4607.0,48.0,0.010418927718688952,4559.0,4527.0,42308.290182991186,75769.074583165,7,1.0,42308.98453599366
exp1,8,23,Group2,0.0071,4610.0,4016.0,0.8711496746203905,594.0,4530.0,8597.229478007648,75729.451383555,3,0.42857142857142855,2685.784925997723
exp1,8,14,Group1,0.0453,15602.0,13296.0,0.8521984360979361,2306.0,15360.0,5947.4363530025585,75726.765598629,1,0.14285714285714285,0.0
exp1,8,16,Group1,0.5014,15361.0,13216.0,0.8603606536032811,2145.0,15281.0,15210.695690999273,75741.976988673,6,0.8571428571428571,15211.390044001746
exp1,9,18,Group2,0.0163,5430.0,48.0,0.008839779005524863,5382.0,5122.0,24152.778114003013,76590.385156159,2,0.2,9285.628729994642
exp1,9,17,Group2,0.5234,5431.0,4608.0,0.8484625299208249,823.0,5123.0,30199.96504401206,76611.300255748,5,0.5,30200.728319003247
exp1,9,23,Group2,0.0264,5432.0,48.0,0.008836524300441826,5384.0,5124.0,24152.778114003013,76590.385156159,3,0.3,9285.628729994642
exp1,9,19,Group2,0.5061,5429.0,48.0,0.00884140725732179,5381.0,5121.0,30199.96504401206,76611.300255748,6,0.6,30200.728319003247
exp1,9,12,Group1,0.4892,17794.0,15600.0,0.8767000112397437,2194.0,17651.0,47258.242185998824,76628.35853289,10,1.0,47259.00546099001
exp1,9,7,Group1,0.0479,17795.0,12128.0,0.6815397583590896,5667.0,17652.0,14912.44744200958,76581.099527429,1,0.1,0.0
exp1,9,5,Group1,0.5604,17956.0,15664.0,0.8723546446870127,2292.0,17713.0,30199.96504401206,76611.300255748,7,0.7,30200.728319003247
exp1,9,3,Group1,0.5419,18037.0,15968.0,0.8852913455674447,2069.0,18029.0,30199.96504401206,76611.300255748,8,0.8,30200.728319003247
exp1,9,27,Group2,0.0088,5565.0,0.0,0.0,5565.0,5540.0,24152.778114003013,76590.385156159,4,0.4,9285.628729994642
